"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Economic_Empowerment_Resource_gwp1_n_5","Economic_Empowerment_Resource_gwp2_n_5","Economic_Empowerment_Resource_SL_CPA_YEMP","Economics_Resource","Economic_Empowerment_Agency_Account_Ratio","Economics_Agency","Economic_Empowerment_Achievement_BetterOff","Economic_Empowerment_Achievement_SL_TLF_NEET_Both","Economic_Empowerment_Achievement_WorkPov","Economics_Achievement","Economics"
"Afghanistan",4,"AFG","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.6477529,0.1833455,0.333333333333333,0.388143910722967,0.905678703623001,0.905678703623001,0.00734026392371266,0.58,0.5905,0.392613420915291,0.562145344524941
"Albania",8,"ALB","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.8604408,0.7553036,0.9,0.838581465828085,0.954880337531283,0.954880337531283,0.005141687685561,0.742,0.9934,0.580180561981673,0.791214120989133
"Algeria",12,"DZA","Northern Africa","Northern Africa and Western Asia","Arab States",0.8948025,0.6920241,0.636363636363636,0.741063411380149,0.868308795462326,0.868308795462326,0.00370583769340506,0.79,0.9991,0.5976019453002,0.735658049978567
"Angola",24,"AGO","Middle Africa","Sub-Saharan Africa","East & Southern Africa",0.641098157485362,0.303555070859093,0.580645161290323,0.508432796036493,0.611827139430804,0.611827139430804,0.00575277820241892,0.9,0.4689,0.458217592275922,0.526159175388247
"Antigua and Barbuda",28,"ATG","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.648148148148148,0.741709606619988,0.869358224887103,0.869358224887103,0.00577988089087824,0.790124254889638,0.969364555651906,0.588422896555718,0.733163575287773
"Azerbaijan",31,"AZE","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.8193651,0.7037687,0.666666666666667,0.729933488158955,0.563782254981821,0.563782254981821,0.00370583769340506,0.707072022046159,0.9999,0.570225952676295,0.621313897984377
"Argentina",32,"ARG","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.8794757,0.850132,0,0.576535899423464,0.87416535746352,0.87416535746352,0.00182456098171736,0.808,0.999,0.602941519724298,0.684547591519213
"Australia",36,"AUS","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.9843697,0.987086,1,0.990485232342848,1,1,0.00739564225843622,0.911,0.999482041180057,0.639292560506872,0.876592596739981
"Austria",40,"AUT","Western Europe","Europe and Northern America","Non-UNFPA Country",0.9904605,0.946224,0.9,0.945561499054439,0.970579364173648,0.970579364173648,0.005141687685561,0.929,0.999482041180057,0.644541242310665,0.85356070099269
"Bahamas",44,"BHS","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.666666666666667,0.747882446119988,0.869358224887103,0.869358224887103,0.00577988089087824,0.790124254889638,1,0.598634711328204,0.738625126706473
